ExptName,SeriesEstimNum,SeriesName,SkipPhaseCorrect,PhaseNAvgFrames,DoTruncate,FOVSize,StimEvery,NStimsInSer,Current,FrameTimeMs,TrainTimeMs,IsLeicaData,LeicaOrFastscan,DataPathOverride,RedFromSeries,RedImageOverride
Cat070220,1,,,,,,20,1,10,815,815,1,,,,
Cat070220,2,,,,,,20,1,20,815,815,1,,,,
Cat070220,3,,,,,,20,1,15,815,815,1,,,,
Cat070220,4,,,,,,20,1,20,815,815,1,,,,
Cat070220,5,,,,,,20,1,25,815,815,1,,,,
Cat070220,6,,,,,,20,1,25,815,815,1,,,,
Cat070220,7,,,,,,20,1,30,815,815,1,,,,
Cat070220,8,,,,,,20,1,50,815,815,1,,,,
Cat070220,9,,,,,,90,1,50,247,815,1,,,,
Cat070220,10,,,,,,90,1,50,247,247,1,,,,
Cat070220,11,,,,,,90,1,50,247,100,1,,,,
Cat070220,12,,,,,,90,1,50,247,815,1,,,,
Cat070220,13,,,,,,90,1,50,247,247,1,,,,
Cat061006,1,,,,,,10,1,2,815,700,1,,,,
Cat061006,2,,,,,,10,1,5,815,700,1,,,,
Cat061006,3,,,,,,10,1,10,815,700,1,,,,
Cat061006,4,,,,,,10,1,20,815,700,1,,,,
Cat061006,5,,,,,,50,1,20,815,700,1,,,,
Cat061006,6,,,,,,50,1,20,815,700,1,,,,
Cat061006,7,,,,,,50,1,50,815,700,1,,,,
Cat061006,8,,1,,,,10,1,50,815,700,1,,,,
Cat070110,1,,,,,,15,1,8,815,815,1,,,,
Cat070110,2,,,,,,15,1,9,815,815,1,,,,
Cat070110,3,,,,,,15,1,7,815,815,1,,,,
Cat070110,4,,,,,,15,1,6,815,815,1,,,,
Cat070110,5,,,,,,15,1,5,815,815,1,,,,
Cat070110,6,,,,,,15,1,4,815,815,1,,,,
Cat070110,7,,,,,,15,1,3,815,815,1,,,,
Cat070110,8,,,,,,15,1,4,815,815,1,,,,
Cat070110,9,,,,,,15,1,5,815,815,1,,,,
Cat070110,11,,,,,,15,1,7,815,815,1,,,,
Cat070110,20,,,,,,50,1,10,247,100,1,,,,
Cat070110,21,,,,,,50,1,15,247,815,1,,,,
Cat070110,22,,,,,,50,1,30,247,815,1,,,,
Cat070110,23,,,,,,50,1,20,247,815,1,,,,
Cat070110,24,,,,,,50,1,30,247,100,1,,,,
